Starting simulation. Press Ctrl-C to exit.
VCD info: dumpfile trace.vcd opened for output.
[ 900] AD=811b DI=ad DO=f9 WE=0 sync=1 reset=0
[ 904] AD=811e DI=29 DO=1d WE=0 sync=1 reset=0
[ 906] AD=8120 DI=f0 DO=1e WE=0 sync=1 reset=0
[ 908] AD=811b DI=ad DO=f9 WE=0 sync=1 reset=0
[ 912] AD=811e DI=29 DO=1d WE=0 sync=1 reset=0
[ 914] AD=8120 DI=f0 DO=1e WE=0 sync=1 reset=0
[ 916] AD=811b DI=ad DO=f9 WE=0 sync=1 reset=0
[ 920] AD=811e DI=29 DO=1d WE=0 sync=1 reset=0
[ 922] AD=8120 DI=f0 DO=1e WE=0 sync=1 reset=0
[ 924] AD=811b DI=ad DO=f9 WE=0 sync=1 reset=0
[ 928] AD=811e DI=29 DO=1d WE=0 sync=1 reset=0
[ 930] AD=8120 DI=f0 DO=1e WE=0 sync=1 reset=0
[ 932] AD=811b DI=ad DO=f9 WE=0 sync=1 reset=0
[ 936] AD=811e DI=29 DO=1d WE=0 sync=1 reset=0
[ 938] AD=8120 DI=f0 DO=1e WE=0 sync=1 reset=0
[ 940] AD=811b DI=ad DO=f9 WE=0 sync=1 reset=0
[ 944] AD=811e DI=29 DO=1d WE=0 sync=1 reset=0
[ 946] AD=8120 DI=f0 DO=1e WE=0 sync=1 reset=0
[ 948] AD=811b DI=ad DO=f9 WE=0 sync=1 reset=0
[ 952] AD=811e DI=29 DO=1d WE=0 sync=1 reset=0
[ 954] AD=8120 DI=f0 DO=1e WE=0 sync=1 reset=0
[ 956] AD=811b DI=ad DO=f9 WE=0 sync=1 reset=0
[ 960] AD=811e DI=29 DO=1d WE=0 sync=1 reset=0
[ 962] AD=8120 DI=f0 DO=1e WE=0 sync=1 reset=0
[ 964] AD=811b DI=ad DO=f9 WE=0 sync=1 reset=0
[ 968] AD=811e DI=29 DO=1d WE=0 sync=1 reset=0
[ 970] AD=8120 DI=f0 DO=1e WE=0 sync=1 reset=0
[ 972] AD=811b DI=ad DO=f9 WE=0 sync=1 reset=0
[ 976] AD=811e DI=29 DO=1d WE=0 sync=1 reset=0
[ 978] AD=8120 DI=f0 DO=1e WE=0 sync=1 reset=0
[ 980] AD=811b DI=ad DO=f9 WE=0 sync=1 reset=0
[ 984] AD=811e DI=29 DO=1d WE=0 sync=1 reset=0
[ 986] AD=8120 DI=f0 DO=1e WE=0 sync=1 reset=0
[ 988] AD=811b DI=ad DO=f9 WE=0 sync=1 reset=0
[ 992] AD=811e DI=29 DO=1d WE=0 sync=1 reset=0
[ 994] AD=8120 DI=f0 DO=1e WE=0 sync=1 reset=0
[ 996] AD=811b DI=ad DO=f9 WE=0 sync=1 reset=0
[1000] AD=811e DI=29 DO=1d WE=0 sync=1 reset=0
[1002] AD=8120 DI=f0 DO=1e WE=0 sync=1 reset=0
[1004] AD=811b DI=ad DO=f9 WE=0 sync=1 reset=0
[1008] AD=811e DI=29 DO=1d WE=0 sync=1 reset=0
[1010] AD=8120 DI=f0 DO=1e WE=0 sync=1 reset=0
